play count,attempt,loss
1000,17.96,500.99249267578125
2000,17.79,449.7410888671875
3000,19.2,453.548828125
4000,18.12,440.6844177246094
5000,18.08,432.6993103027344
6000,19.36,423.582275390625
7000,18.88,423.0960998535156
8000,18.81,400.01641845703125
9000,18.56,397.45391845703125
10000,19.21,378.74859619140625
11000,18.46,374.6957702636719
12000,17.82,348.4306640625
13000,19.47,353.72613525390625
14000,18.41,324.5518493652344
15000,18.92,340.47967529296875
16000,18.57,316.7006530761719
17000,18.23,301.4806213378906
18000,18.95,299.6850891113281
19000,18.11,306.1932373046875
20000,18.34,298.5169982910156
21000,18.62,297.72589111328125
22000,18.24,279.4873962402344
23000,18.91,283.644775390625
24000,19.59,275.71710205078125
25000,18.45,265.2713928222656
26000,17.17,271.2812805175781
27000,17.79,251.6297607421875
28000,17.36,238.1924285888672
29000,18.35,244.89991760253906
30000,17.32,237.33181762695312
31000,16.64,239.1149444580078
32000,18.72,226.6664276123047
33000,18.86,217.29998779296875
34000,17.63,214.9306182861328
35000,18.73,202.99838256835938
36000,19.38,207.0477752685547
37000,19.04,186.05462646484375
38000,17.59,196.41690063476562
39000,19.05,199.87962341308594
40000,17.88,178.4906005859375
41000,18.7,183.21629333496094
42000,18.37,172.30638122558594
43000,19.87,171.7151336669922
44000,18.52,164.33767700195312
45000,18.79,168.67019653320312
46000,18.44,161.40919494628906
47000,19.53,157.93783569335938
48000,19.27,164.7924041748047
49000,17.91,165.75900268554688
50000,18.93,157.38706970214844
51000,17.66,150.45843505859375
52000,17.62,149.98292541503906
53000,17.98,145.2039031982422
54000,19.02,145.63168334960938
55000,18.7,142.48297119140625
56000,18.79,140.3329315185547
57000,18.34,145.4691925048828
58000,18.12,140.83494567871094
59000,18.39,140.7937469482422
60000,18.39,138.13511657714844
61000,18.08,131.171875
62000,19.14,136.55453491210938
63000,19.5,142.1156463623047
64000,17.09,137.43093872070312
65000,18.08,129.47012329101562
66000,17.65,135.22142028808594
67000,17.49,136.47344970703125
68000,18.26,134.9964599609375
69000,18.78,124.42385864257812
70000,18.62,127.49235534667969
71000,18.9,124.48255157470703
72000,18.73,126.1040267944336
73000,16.57,121.8153305053711
74000,16.96,123.6814193725586
75000,18.31,132.2180633544922
76000,19.29,130.19203186035156
77000,18.2,130.55233764648438
78000,18.75,123.66326141357422
79000,18.61,130.26901245117188
80000,17.17,119.5321273803711
81000,16.63,122.18274688720703
82000,17.95,121.23817443847656
83000,18.46,122.21666717529297
84000,17.97,118.88829803466797
85000,18.22,120.19148254394531
86000,17.4,128.5352783203125
87000,18.15,119.44200134277344
88000,18.06,134.47239685058594
89000,19.07,115.24752807617188
90000,17.19,121.23514556884766
91000,17.58,116.70354461669922
92000,18.17,120.00062561035156
93000,18.49,114.59214782714844
94000,17.77,115.53640747070312
95000,18.0,104.4898452758789
96000,18.82,110.44926452636719
97000,17.52,120.11559295654297
98000,17.61,123.97063446044922
99000,17.67,115.7448501586914
100000,16.27,115.28174591064453
101000,17.19,111.83273315429688
102000,18.2,108.04393768310547
103000,17.73,110.19831085205078
104000,16.66,111.3419418334961
105000,18.64,112.876708984375
106000,17.58,109.73241424560547
107000,17.77,109.58695983886719
108000,16.85,107.47460174560547
109000,17.32,111.25296783447266
110000,18.65,103.38117980957031
111000,17.33,109.35614013671875
112000,17.53,106.9443588256836
113000,17.25,97.2861099243164
